account_id,transaction_id,transaction_amount,transaction_type,location,is_fraud,credit_score,income
ec30a014-3b79-4b63-8b2c-f9d62c925438,a41ebb39-252e-4027-902e-1d6899909b16,1376.12,withdrawal,New Lisa,0,708,144469.55
e124f8f1-af23-4090-9e0a-ca1e77d6fb33,dcc0882c-a2ca-4f2f-9a38-3657587e0a3f,3282.21,withdrawal,Lake Carrie,0,824,127975.37
765de902-b595-4a68-9342-7f8bf63cba87,3e29b434-6f3f-464a-bec2-9e950cbf9ef6,4203.13,withdrawal,South Jamesbury,0,418,100067.0
aa51fdd2-0b76-422f-871a-36885df3904c,de25fdea-8eee-4fd4-897d-042ef1e0f5d2,4047.92,deposit,South Bruce,0,806,79077.24
ade7e10e-3829-4947-9fa0-0a0cf9d70a66,8a84500b-6ece-4d1b-af93-141fc87e6122,4320.09,transfer,South Dannyberg,0,418,130878.34
b0c8c682-f207-410a-85fe-0463c82c978d,819b2740-cb8c-41a4-b290-e0e864bed7ec,2808.26,deposit,Benjaminland,0,320,111043.21
14ab144b-6909-48a9-8cdd-d241b072b8dd,ad9bed5f-68bd-44b3-b5ce-679d9d83408f,3281.69,payment,East Margarettown,0,650,72843.66
d7ca0854-9958-4f5a-ac97-05172e993202,7c22fb1a-9de6-4f69-8055-313874abb7d6,4091.4,deposit,Jacquelinehaven,0,539,34805.86
cc894441-cecf-49c8-aff3-bff423b751f2,bcb86344-fab9-40af-921f-5a81157ecaa2,1609.56,withdrawal,North Alexis,0,787,127505.78
07bf7656-f100-45ff-a349-8b15daaa1f28,c7b8909e-67da-48d9-8dd2-18b81e490fac,2117.51,payment,Lake Hannahhaven,0,589,32551.92
5d688350-6385-4880-9581-e728fdeb0d61,345c521b-d76d-4f06-a235-fa42de2ab261,1816.29,withdrawal,Lake Jessicaberg,0,647,121137.17
39fc89eb-1cab-414c-879c-007e77ce58a7,e6190035-3a20-4341-affc-8831d35bed88,244.53,deposit,New Christopherview,0,489,62767.32
1c9cf528-a1d3-4214-a958-872d5cb8a8ee,189bc0f6-aeb4-498c-b08d-c5e5ec22e65f,2467.01,withdrawal,East Rodneyfort,0,399,94962.61
63f2881e-ff66-4acf-9116-aafd5d69298b,45934102-fef4-48c1-aeea-be6834929f51,3000.19,deposit,Lake Jason,0,328,89668.36
12648142-38f9-474a-bc9f-e156cf11b50c,eaef5a30-2aed-468e-afe8-92796a362d4c,4959.13,transfer,Erinfort,0,337,108604.77
28c5d85d-052f-4fcf-96dd-73e9f40040da,c987b7b0-0859-4cae-9065-6b6c537a7813,3589.25,transfer,Sarahchester,0,321,62788.03
0f64b149-378e-461d-ac59-ed332f23809f,b07fc4a6-c997-44a2-aa0d-df1756239b4a,1917.36,withdrawal,South Garyport,0,476,121156.06
6cfae923-b685-4ab0-af41-b1eb426b3ecd,58d28a40-bbb5-43ce-9833-e8d607b62cc0,249.07,transfer,South Michaelland,0,754,68948.73
895326ba-687c-48cd-b952-8d2471066343,a08bccb8-61ab-4bf6-b96a-4f0d1333407e,3304.01,deposit,North Nancy,0,416,132715.07
86e2f0e6-a067-4d84-956e-e84dc76d80e3,1b102d95-20a5-4bb4-bd7c-5cc4654e7914,2452.68,payment,New Jessicachester,0,774,28062.7
2e423ab4-ca26-4ac0-9338-cf1ab60a36b6,0a132854-731d-4c9d-b2b3-215efa41cc5c,3456.81,deposit,West Hunter,0,381,44848.63
c2ccc761-805c-4f51-a559-ebde8df265d2,074354d3-f01f-4543-9320-5d6b592b578c,1410.13,payment,Brittneyberg,0,847,25100.62
08ef0383-a828-4897-9fe1-e7f037fd368f,7c71e4ba-78ec-4ca7-8f70-321715a42636,715.01,withdrawal,North Kathleen,0,547,147923.98
ca249947-c017-4777-b47e-d02fd78b25bb,bdee7e8c-7bff-41d1-8fda-48471146adf6,3683.17,withdrawal,Josephland,0,681,144810.55
d9e94428-daa8-4806-93cf-0543452ad94e,28722bbe-0cd6-4fd7-916e-3100ac511d59,2041.98,transfer,Pittmanberg,0,719,65567.06
25e4a7a9-9c9b-4804-b069-b413f25ed027,c7623555-0b73-4af2-9c90-6baafaa28860,2355.02,transfer,East Christopher,0,323,140075.21
3376fa62-7ff0-4d8c-9d17-996ee106c73f,d56547be-a0aa-446d-a05a-93073f74eb06,3446.96,deposit,Normaton,0,727,58691.11
132c4d8b-1f98-4241-a25a-53316342ce3d,8f1c677e-7c3a-41f8-b497-498aaa0e9562,3539.92,payment,Michaelmouth,0,840,93025.42
fadac364-97c2-4d86-950c-53944ad58c34,724de6fe-4e12-4834-b672-e830ce4428dc,113.18,deposit,Ochoaton,0,351,77368.3
be443cc7-ec36-48d0-b6eb-d849c508ce5a,f338875d-c15b-42ac-acd3-d93a7b07d9b7,1288.54,withdrawal,Owenshaven,0,387,90854.96
2839b0fa-a5b4-411e-af43-cad23a510ab1,670ae3ec-ad9c-445e-9a44-260d17ed590b,1041.52,transfer,West Meganhaven,0,390,91338.79
db1f9222-6830-4ae7-af79-495102e1f74f,1de15490-3d84-489d-b448-fbd25ed8161c,1752.75,transfer,Beanville,0,656,91472.25
79e13373-0d2a-4e0b-a999-9bd0cdd25b8c,c1beb6bf-2d70-4bd6-9a09-8d1e47343b1b,2868.21,deposit,Port Michelle,0,690,75631.23
1a44d314-db0a-4251-9dd4-f69c751f6f83,e74db031-be21-4b21-8782-cbba88fb8ab4,4902.19,deposit,Christophershire,0,598,94591.13
399ec56d-c592-4818-9a3a-1c90b332785f,6bfcaca7-c128-496e-9a85-ac74ea36bb99,1623.74,withdrawal,New Brandon,0,712,128199.76
d7bb8db3-aaa3-42a4-84cd-98e294d6ffaf,109180a4-0140-4ebf-b916-21bbf949c80b,2652.12,deposit,North Joseph,0,386,29276.14
237d74a0-a6ee-417d-86e2-80a9050b15d5,28bac217-a3c4-4789-9c2f-234798d12bcb,509.43,deposit,Fowlerfort,0,559,42689.59
